name,meaning,gender,gender_m,gender_f,korean_meaning,celebrity
Achim,Constructed by God,boy,True,False,신에 의해 건설,"{'name': 'joachim garraud', 'net_worth': 10000000, 'gender': 'male', 'nationality': 'fr', 'occupation': ['record_producer', 'disc_jockey', 'remixer'], 'birthday': '1968-09-27', 'age': 53, 'is_alive': True}"
Achmed,Praiseworthy,boy,True,False,"칭찬하다, 그대의",[]
Acke,Peace of the father,boy,True,False,아버지의 평화,"{'name': 'mackenzie crook', 'net_worth': 4000000, 'gender': 'male', 'nationality': 'gb', 'occupation': ['comedian', 'actor', 'stand-up_comedian', 'dubbing'], 'height': 1.75, 'birthday': '1971-09-29', 'age': 50, 'is_alive': True}"
Ackerley,Garden of oak trees,boy,True,False,오크 나무의 정원,"[{'name': 'tom ackerley', 'net_worth': 4000000}]"
Acton,From an oak tree town,boy,True,False,오크 나무 마을에서,"{'name': 'brian acton', 'net_worth': 4000000000}"
Ada,Graceful and noble,girl,False,True,우아하고 고귀한,"{'name': 'sadashiv amrapurkar', 'net_worth': 20000000, 'gender': 'male', 'nationality': 'in', 'occupation': ['actor'], 'birthday': '1950-05-11', 'age': 64, 'is_alive': False, 'death': '2014-11-03'}"
Adabelle,From the beautiful scenery,girl,False,True,아름다운 풍경에서,[]
Adah,From the beautiful scenery,girl,False,True,아름다운 풍경에서,[]
Adair,Oak tree crossing,boy,True,False,오크 나무 횡단,[]
Adalberto,Aristocratic and bright,boy,True,False,귀족적이고 밝은,[]
Adam,Man,boy,True,False,남성,"{'name': 'adam wainwright', 'net_worth': 55000000, 'gender': 'male', 'nationality': 'us', 'occupation': ['baseball_player'], 'height': 2.01, 'birthday': '1981-08-30', 'age': 41, 'is_alive': True}"
Adamaris,Graceful and noble,girl,False,True,우아하고 고귀한,[]
Adamo,Man,boy,True,False,남성,[]
Adams,From Adam,boy,True,False,아담에게서,"{'name': 'don adams', 'net_worth': 15000000, 'gender': 'male', 'nationality': 'us', 'occupation': ['comedian', 'actor', 'voice_actor', 'television_director', 'screenwriter', 'television_producer', 'film_editor', 'film_director'], 'height': 1.75, 'birthday': '1923-04-13', 'age': 82, 'is_alive': False, 'death': '2005-09-25'}"
Adao,Man,boy,True,False,남성,[]
Adda,Graceful and noble,girl,False,True,우아하고 고귀한,"{'name': 'muammar gaddafi', 'net_worth': 200000000000, 'gender': 'male', 'nationality': 'ly', 'occupation': ['politician', 'military_officer', 'soldier'], 'height': 1.83, 'birthday': '1942-06-07', 'age': 69, 'is_alive': False, 'death': '2011-10-20'}"
Addai,Ornament of God,boy,True,False,신의 장식,[]
Addison,Adam's child,boygirl,True,True,아담의 아이,"{'name': 'addison rae', 'net_worth': 5000000}"
Addy,Graceful and noble,girl,False,True,우아하고 고귀한,"{'name': 'daddy yankee', 'net_worth': 40000000, 'gender': 'male', 'nationality': 'pr', 'occupation': ['singer', 'rapper', 'songwriter', 'music_artist', 'actor', 'singer-songwriter'], 'height': 1.7, 'birthday': '1977-02-03', 'age': 45, 'is_alive': True}"
Ade,Man of nobility,boy,True,False,귀족의 남자,"{'name': 'walt cade', 'net_worth': 1500000}"
Adebowale,Return of the crown,boygirl,True,True,왕관의 귀환,[]
Adel,Graceful and noble,girl,False,True,우아하고 고귀한,"{'name': 'cadel evans', 'net_worth': 8000000, 'gender': 'male', 'nationality': 'au', 'occupation': ['professional_road_racing_cyclist'], 'height': 1.74, 'birthday': '1977-02-14', 'age': 45, 'is_alive': True}"
Adela,Graceful and noble,girl,False,True,우아하고 고귀한,"{'name': 'adelaide clemens', 'net_worth': 4000000, 'gender': 'female', 'nationality': 'au', 'occupation': ['actor'], 'height': 1.75, 'birthday': '1989-11-30', 'age': 32, 'is_alive': True}"
Adelaide,Graceful and noble,girl,False,True,우아하고 고귀한,"[{'name': 'adelaide clemens', 'net_worth': 4000000, 'gender': 'female', 'nationality': 'au', 'occupation': ['actor'], 'height': 1.75, 'birthday': '1989-11-30', 'age': 32, 'is_alive': True}]"
Adelajda,Graceful and noble,girl,False,True,우아하고 고귀한,[]
Adele,Graceful and noble,girl,False,True,우아하고 고귀한,"{'name': 'madeleine albright', 'net_worth': 10000000, 'gender': 'female', 'nationality': 'us', 'occupation': ['politician', 'diplomat', 'professor'], 'height': 1.47, 'birthday': '1937-05-15', 'age': 85, 'is_alive': True}"
Adelhard,Noble strength,boy,True,False,고귀한 힘,[]
Adelheid,Graceful and noble,girl,False,True,우아하고 고귀한,[]
Adelina,Graceful and noble,girl,False,True,우아하고 고귀한,[]
Adelita,Graceful and noble,girl,False,True,우아하고 고귀한,[]
Adelmar,Noble strength,boy,True,False,고귀한 힘,[]
Adelmo,Strong and persistent,boy,True,False,강력하고 지속적,[]
Adelmund,Of noble birth,boy,True,False,고귀한 출생의,[]
Adelram,Dark and noble,boy,True,False,어둡고 고귀한,[]
Adelrik,Powerful and strong ruler,boy,True,False,강력하고 강력한 통치자,[]
Ademar,Strong and famous,boy,True,False,강력하고 유명한,[]
Adiel,Decorated by the Lord,boy,True,False,"12월, L이 먹음, 디",[]
Adil,Wise and insightful,boy,True,False,현명하고 통찰력 있는,"{'name': 'alejandro garcia padilla', 'net_worth': 800000, 'gender': 'male', 'nationality': 'pr', 'occupation': ['lawyer', 'politician'], 'birthday': '1971-08-03', 'age': 51, 'is_alive': True}"
Adin,Delicate,boy,True,False,연약한,"{'name': 'robert carradine', 'net_worth': 300000, 'gender': 'male', 'nationality': 'us', 'occupation': ['actor', 'television_producer', 'film_producer'], 'height': 1.82, 'birthday': '1954-03-24', 'age': 68, 'is_alive': True}"
Adina,Lean and subtle,girl,False,True,날렵하고 미묘한,"{'name': 'adina howard', 'net_worth': 1500000, 'gender': 'female', 'nationality': 'us', 'occupation': ['singer', 'songwriter', 'actor', 'singer-songwriter'], 'height': 1.6, 'birthday': '1974-11-14', 'age': 47, 'is_alive': True}"
Adisa,The lucid one,boy,True,False,명쾌한,[]
Aditi,Universal,girl,False,True,만능인,[]
Adlai,Ornament of God,boy,True,False,신의 장식,[]
Adler,Eagle,boy,True,False,독수리,"{'name': 'jerry adler', 'net_worth': 8000000, 'gender': 'male', 'nationality': 'us', 'occupation': ['actor', 'theatrical_producer', 'theatre_director', 'production_supervisor'], 'height': 1.88, 'birthday': '1929-02-04', 'age': 93, 'is_alive': True}"
Adney,Living on a noble's island,boy,True,False,귀족의 섬에 살기,[]
Adolf,Distinguished or strong wolf,boy,True,False,"저명한, 강한 늑대","[{'name': 'adolfo quinones', 'net_worth': 200000, 'gender': 'male', 'nationality': 'us', 'occupation': ['film_director', 'choreographer', 'actor', 'dancer'], 'height': 1.8, 'birthday': '1955-05-11', 'age': 67, 'is_alive': True}]"
Adolfo,Distinguished or strong wolf,boy,True,False,"저명한, 강한 늑대","[{'name': 'adolfo quinones', 'net_worth': 200000, 'gender': 'male', 'nationality': 'us', 'occupation': ['film_director', 'choreographer', 'actor', 'dancer'], 'height': 1.8, 'birthday': '1955-05-11', 'age': 67, 'is_alive': True}]"
Adolphus,Distinguished or strong wolf,boy,True,False,"저명한, 강한 늑대",[]
Adon,God or Lord,boy,True,False,"하나님, 엘, 디","{'name': 'duane hagadone', 'net_worth': 800000000, 'gender': 'male', 'nationality': 'us', 'occupation': ['newspaper_publisher', 'urban_planner', 'businessperson', 'real_estate_development'], 'birthday': '1932-09-03', 'age': 90, 'is_alive': True}"
Adonai,God or Lord,boy,True,False,"하나님, 엘, 디",[]
Adoni,God or Lord,boy,True,False,"하나님, 엘, 디","[{'name': 'jason adonis', 'net_worth': 3000, 'gender': 'male', 'nationality': 'us', 'occupation': ['pornographic_film_actor', 'bodybuilder', 'personal_trainer'], 'height': 1.88, 'birthday': '1979-08-28', 'age': 43, 'is_alive': True}]"
Adonias,God or Lord,boy,True,False,"하나님, 엘, 디",[]
Adora,Adoration,girl,False,True,"기원 후, 에이션","[{'name': 'pia zadora', 'net_worth': 25000000, 'gender': 'female', 'nationality': 'us', 'occupation': ['actor', 'singer'], 'height': 1.52, 'birthday': '1953-05-04', 'age': 69, 'is_alive': True}]"
Adoracion,Adoration,girl,False,True,"기원 후, 에이션",[]
Adorjan,From Hadria,boy,True,False,하드리아에서,[]
Adria,Woman from Adria,girl,False,True,아드리아에서 온 여자,"{'name': 'adrian belew', 'net_worth': 8000000, 'gender': 'male', 'nationality': 'us', 'occupation': ['guitarist', 'singer', 'songwriter', 'multi-instrumentalist', 'record_producer', 'musician'], 'birthday': '1949-12-23', 'age': 72, 'is_alive': True}"
Adrian,From Hadria,boy,True,False,하드리아에서,"{'name': 'adrian belew', 'net_worth': 8000000, 'gender': 'male', 'nationality': 'us', 'occupation': ['guitarist', 'singer', 'songwriter', 'multi-instrumentalist', 'record_producer', 'musician'], 'birthday': '1949-12-23', 'age': 72, 'is_alive': True}"
Adrianna,Woman from Adria,girl,False,True,아드리아에서 온 여자,[]
Adrianne,Woman from Adria,girl,False,True,아드리아에서 온 여자,"{'name': 'adrianne palicki', 'net_worth': 4000000, 'gender': 'female', 'nationality': 'us', 'occupation': ['actor'], 'height': 1.8, 'birthday': '1983-05-06', 'age': 39, 'is_alive': True}"
Adriano,From Hadria,boy,True,False,하드리아에서,"{'name': 'adriano celentano', 'net_worth': 50000000, 'gender': 'male', 'nationality': 'it', 'occupation': ['singer-songwriter', 'musician', 'actor', 'film_director', 'comedian', 'film_score_composer', 'presenter', 'screenwriter'], 'height': 1.78, 'birthday': '1938-01-06', 'age': 84, 'is_alive': True}"
Adrianus,From Hadria,boy,True,False,하드리아에서,[]
Adriel,Follower of God,boy,True,False,신의 추종자,[]
Adrienn,Woman from Adria,girl,False,True,아드리아에서 온 여자,"{'name': 'adrienne-joi johnson', 'net_worth': 500000, 'gender': 'female', 'nationality': 'us', 'occupation': ['actor', 'model', 'personal_trainer', 'dancer', 'choreographer'], 'birthday': '1963-09-03', 'age': 59, 'is_alive': True}"
Aegeus,Protector,boy,True,False,"보호하다, ",[]
Aeneas,Praising,boy,True,False,찬양,"[{'name': 'aeneas williams', 'net_worth': 50000000, 'gender': 'male', 'nationality': 'us', 'occupation': ['american_football_player'], 'birthday': '1968-01-29', 'age': 54, 'is_alive': True}]"
Aeron,Berry,boygirl,True,True,말린 씨앗,[]
Aesop,Unclear,boy,True,False,불분명,[]
Aethelred,Wise or learned counselor,boy,True,False,"지혜로운, 배운 조언, ",[]
Afia,Friday born child,girl,False,True,"금요일 b, n 아이","{'name': 'swedish house mafia', 'net_worth': 100000000}"
Afolabi,Child of high status,boy,True,False,지위가 높은 아이,[]
Afonso,Noble and prepared,boy,True,False,고귀하고 준비된,[]
Africa,Cave,boygirl,True,True,동굴,[]
Africanus,Free from cold and horror,boy,True,False,"추위와 h에서 무료, 아르 자형, ",[]
Afton,From the River Afton,girl,False,True,애프턴 강에서,"{'name': 'sue grafton', 'net_worth': 75000000}"
Afua,Friday born child,girl,False,True,"금요일 b, n 아이",[]
Agafya,Good-hearted,girl,False,True,착한 마음,[]
Agamemnon,Resolute and inflexible,boy,True,False,단호하고 융통성이 없음,[]
Agape,Love and affection,girl,False,True,사랑과 애정,[]
Agata,Good-hearted,girl,False,True,착한 마음,[]
Agatha,Good-hearted,girl,False,True,착한 마음,[]
Agda,Good-hearted,girl,False,True,착한 마음,"{'name': 'nina agdal', 'net_worth': 12000000, 'gender': 'female', 'nationality': 'dk', 'occupation': ['fashion_model'], 'height': 1.76, 'birthday': '1992-03-26', 'age': 30, 'is_alive': True}"
Aggie,"Sacred, chaste",girl,False,True,"신성한, 순결한","{'name': 'maggie q', 'net_worth': 9000000, 'gender': 'female', 'nationality': 'us', 'occupation': ['model', 'actor', 'film_producer'], 'height': 1.68, 'birthday': '1979-05-22', 'age': 43, 'is_alive': True}"
Agnes,"Sacred, chaste",girl,False,True,"신성한, 순결한","{'name': 'agnes bruckner', 'net_worth': 2000000, 'gender': 'female', 'nationality': 'us', 'occupation': ['actor', 'model'], 'height': 1.72, 'birthday': '1985-08-16', 'age': 37, 'is_alive': True}"
Agneta,"Sacred, chaste",girl,False,True,"신성한, 순결한",[]
Agnete,"Sacred, chaste",girl,False,True,"신성한, 순결한",[]
Agnetha,"Sacred, chaste",girl,False,True,"신성한, 순결한","[{'name': 'agnetha faltskog', 'net_worth': 200000000, 'gender': 'female', 'nationality': 'se', 'occupation': ['singer', 'record_producer', 'composer', 'songwriter', 'musician', 'actor'], 'height': 1.72, 'birthday': '1950-04-05', 'age': 72, 'is_alive': True}]"
Agni,From the fire,boy,True,False,불에서,"{'name': 'agnieszka radwanska', 'net_worth': 25000000, 'gender': 'female', 'nationality': 'pl', 'occupation': ['tennis_player'], 'height': 1.72, 'birthday': '1989-03-06', 'age': 33, 'is_alive': True}"
Agnieszka,"Sacred, chaste",girl,False,True,"신성한, 순결한","[{'name': 'agnieszka radwanska', 'net_worth': 25000000, 'gender': 'female', 'nationality': 'pl', 'occupation': ['tennis_player'], 'height': 1.72, 'birthday': '1989-03-06', 'age': 33, 'is_alive': True}]"
Agostinho,Exalted,boy,True,False,고귀한,[]
Agoston,Exalted,boy,True,False,고귀한,[]
Agot,Good-hearted,girl,False,True,착한 마음,[]
Agota,Good-hearted,girl,False,True,착한 마음,[]
Agrippa,Feet first,boygirl,True,True,발 먼저,[]
Agueda,Good-hearted,girl,False,True,착한 마음,[]
Agustino,Deserving respect and adoration,boy,True,False,"존경과 광고, 에이션",[]
Agusto,Deserving respect,boy,True,False,존경받을 만하다,[]
Ah,Little one,boygirl,True,True,어린이,"{'name': 'sarah savage', 'net_worth': 50000, 'gender': 'female'}"
Ahab,Father's brother,boy,True,False,아버지의 형제,[]
Ahe,Soft breeze,boy,True,False,부드러운 바람,"{'name': 'jaheim', 'net_worth': 4500000, 'gender': 'male', 'nationality': 'us', 'occupation': ['singer', 'record_producer', 'singer-songwriter', 'rapper'], 'height': 1.91, 'birthday': '1978-05-26', 'age': 44, 'is_alive': True}"
Aheahe,Gentle breeze,boy,True,False,산들 바람,[]
Ahearn,Master of horses,boy,True,False,"마스터 오브 h, 세",[]
Ahlai,One who pleads,girl,False,True,간청하는 자,[]
Ahmad,Praiseworthy,boy,True,False,"칭찬하다, 그대의","{'name': 'ezra nahmad', 'net_worth': 1500000000}"
Ahmed,Praiseworthy,boy,True,False,"칭찬하다, 그대의","{'name': 'ahmed best', 'net_worth': 3000000, 'gender': 'male', 'nationality': 'us', 'occupation': ['actor', 'television_producer', 'television_director', 'screenwriter', 'musician', 'voice_actor'], 'height': 1.8, 'birthday': '1973-08-19', 'age': 49, 'is_alive': True}"
Ahtahkakoop,Quilt of stars,boy,True,False,별의 이불,[]
Ahuitzotl,Watering dog,boy,True,False,물주는 개,[]
Ai,Lovable,girl,False,True,사랑스러운,"{'name': 'alain delon', 'net_worth': 200000000, 'gender': 'male', 'nationality': 'fr', 'occupation': ['actor', 'film_producer', 'screenwriter', 'film_director', 'soldier', 'singer', 'television_producer'], 'height': 1.77, 'birthday': '1935-11-08', 'age': 86, 'is_alive': True}"
Aida,One who returns,girl,False,True,돌아오는 자,"{'name': 'aidan gallagher', 'net_worth': 2000000}"
Aidan,Like a fire,boygirl,True,True,불처럼,"{'name': 'aidan gallagher', 'net_worth': 2000000}"
Aifric,Agreeable,girl,False,True,기분 좋은,[]
Aiken,Made from oak trees,boy,True,False,오크 나무로 만든,"[{'name': 'clay aiken', 'net_worth': 6000000, 'gender': 'male', 'nationality': 'us', 'occupation': ['singer', 'actor', 'singer-songwriter', 'tv_personality', 'author', 'social_activist', 'activist'], 'height': 1.88, 'birthday': '1978-11-30', 'age': 43, 'is_alive': True}]"
Ailani,High chief,girl,False,True,하이 촌장,[]
Ailbhe,"Fair, white",boygirl,True,True,"공정한, 하얀",[]
Aileas,"Noble, graceful",girl,False,True,"고귀한, 우아한",[]
Aileen,Torch of light,girl,False,True,"티, 빛의 채널","[{'name': 'aileen quinn', 'net_worth': 500000, 'gender': 'female', 'nationality': 'us', 'occupation': ['actor', 'dancer', 'film_director', 'singer-songwriter'], 'height': 1.49, 'birthday': '1971-06-28', 'age': 51, 'is_alive': True}]"
Ailpein,Whitish,boy,True,False,약간 흰,[]
Ailsa,Fairy rock,girl,False,True,페어리 락,[]
Aindrea,"Virile, manly",boy,True,False,"사나운, 남자다운",[]
Aine,"Radiant, brilliant",girl,False,True,"광점, 훌륭한","{'name': 'elaine wynn', 'net_worth': 2000000000, 'gender': 'female', 'nationality': 'us'}"
Ainsley,From the field of hermits,boygirl,True,True,은둔자의 분야에서,"{'name': 'ainsley earhardt', 'net_worth': 6000000, 'gender': 'female', 'nationality': 'us', 'occupation': ['newscaster'], 'height': 1.73, 'birthday': '1976-09-20', 'age': 45, 'is_alive': True}"
Aisha,One who is alive,girl,False,True,살아계신 분,"{'name': 'aisha tyler', 'net_worth': 8000000, 'gender': 'female', 'nationality': 'us', 'occupation': ['actor', 'comedian', 'author', 'voice_actor', 'screenwriter'], 'height': 1.83, 'birthday': '1970-09-18', 'age': 52, 'is_alive': True}"
Aishwarya,Rich and prosperous,girl,False,True,부자와 번영,"{'name': 'aishwarya al alsaud', 'net_worth': 820000000}"
Aisling,"Fantasy, dream",girl,False,True,"공상, 꿈",[]
Aito,Darling child,boy,True,False,달링 아이,[]
Aiyana,Endless beauty,girl,False,True,끝없는 아름다움,[]
Aja,Born where the goats live,girl,False,True,"비, n 염소가 사는 곳","{'name': 'ajay piramal', 'net_worth': 1800000000, 'gender': 'male', 'nationality': 'in', 'birthday': '1955-12-20', 'age': 66, 'is_alive': True}"
Ajax,Powerful eagle,boy,True,False,강력한 독수리,[]
Ajit,Unbeatable,boy,True,False,무적,"[{'name': 'ajit jain', 'net_worth': 2000000000, 'gender': 'male', 'nationality': 'us', 'occupation': ['businessperson'], 'birthday': '1951-07-23', 'age': 71, 'is_alive': True}]"
Ajmal,Very handsome,boy,True,False,아주 잘생겼어,[]
Akachi,God's hand,boygirl,True,True,신의 손,[]
Akamai,"Intelligent, clever",boy,True,False,"지능적인, 영리한",[]
Akamu,"Formed by God, Earth",boy,True,False,", ",[]
Akara,Alphabet,boy,True,False,알파벳,[]
Akash,From the sky,boy,True,False,하늘에서,"[{'name': 'sri prakash lohia', 'net_worth': 3900000000}]"
Ake,Forebear,boy,True,False,"에프, 이베어","{'name': 'joe don baker', 'net_worth': 3000000, 'gender': 'male', 'nationality': 'us', 'occupation': ['actor'], 'height': 1.89, 'birthday': '1936-02-12', 'age': 86, 'is_alive': True}"
Akeem,"Knowledgeable, wise",boy,True,False,"지식이 풍부한, 지혜로운","{'name': 'akeem ayers', 'net_worth': 5000000, 'gender': 'male', 'nationality': 'us', 'occupation': ['american_football_player'], 'height': 1.91, 'birthday': '1989-07-10', 'age': 33, 'is_alive': True}"
Akela,Graceful and noble,boygirl,True,True,우아하고 고귀한,[]
Akhil,Entire,boy,True,False,전체,"[{'name': 'chris oyakhilome', 'net_worth': 50000000, 'gender': 'male', 'nationality': 'ng', 'occupation': ['televangelist', 'author', 'preacher', 'pastor'], 'birthday': '1963-12-07', 'age': 58, 'is_alive': True}]"
Akhila,Entire,girl,False,True,전체,[]
Akilah,"Clever, bright",girl,False,True,"영리한, 밝은",[]
Akim,Originating from God,boy,True,False,신에게서 유래,"{'name': 'rakim', 'net_worth': 2000000, 'gender': 'male', 'nationality': 'us', 'occupation': ['rapper', 'record_producer', 'singer-songwriter', 'composer'], 'birthday': '1968-01-28', 'age': 54, 'is_alive': True}"
Akinyi,Born during forenoon,girl,False,True,"비, f 동안 n, 정오",[]
Akio,Bright man,boy,True,False,밝은 남자,"{'name': 'akio toyoda', 'net_worth': 1000000000, 'gender': 'male', 'nationality': 'jp', 'occupation': ['businessperson'], 'birthday': '1956-05-03', 'age': 66, 'is_alive': True}"
Akira,Clear and intelligent,boygirl,True,True,명확하고 지적인,"{'name': 'akira toriyama', 'net_worth': 45000000, 'gender': 'male', 'nationality': 'jp', 'occupation': ['mangaka', 'designer', 'game_artist', 'writer', 'art_director'], 'birthday': '1955-04-05', 'age': 67, 'is_alive': True}"
Akoni,Worthy of admiration or praise,boy,True,False,"여, 당신의 감탄, 칭찬",[]
Aksel,Peace of the father,boy,True,False,아버지의 평화,"[{'name': 'aksel hennie', 'net_worth': 5000000, 'gender': 'male', 'nationality': 'no', 'occupation': ['actor', 'film_director', 'screenwriter', 'voice_actor'], 'height': 1.73, 'birthday': '1975-10-29', 'age': 46, 'is_alive': True}]"
Akseli,Peace of the father,boy,True,False,아버지의 평화,[]
Akua,Wednesday born,girl,False,True,"수요일 나, N",[]
Akuchi,God is rich,boygirl,True,True,신은 부자다,[]
Al,Unclear,boy,True,False,불분명,"{'name': 'walter afanasieff', 'net_worth': 100000000, 'gender': 'male', 'nationality': 'us', 'occupation': ['songwriter', 'composer', 'record_producer', 'writer'], 'birthday': '1958-02-10', 'age': 64, 'is_alive': True}"
Aladdin,Peak of faith,boy,True,False,믿음의 정점,[]
Alaina,"Valuable, precious",girl,False,True,"귀중한, 귀중한","[{'name': 'lauren alaina', 'net_worth': 800000, 'gender': 'female', 'nationality': 'us', 'occupation': ['singer'], 'height': 1.68, 'birthday': '1994-11-08', 'age': 27, 'is_alive': True}]"
Alajos,Well-known fighter,boy,True,False,유명한 파이터,[]
Alan,Handsome rock,boy,True,False,잘 생긴 바위,"{'name': 'm. night shyamalan', 'net_worth': 80000000, 'gender': 'male', 'nationality': 'us', 'occupation': ['screenwriter', 'film_producer', 'film_director', 'actor', 'voice_actor', 'businessperson'], 'height': 1.8, 'birthday': '1970-08-06', 'age': 52, 'is_alive': True}"
Alana,"Valuable, precious",girl,False,True,"귀중한, 귀중한","{'name': 'alana stewart', 'net_worth': 20000000, 'gender': 'female', 'nationality': 'us', 'occupation': ['model', 'actor'], 'height': 1.75, 'birthday': '1945-05-18', 'age': 77, 'is_alive': True}"
Alani,Orange tree,girl,False,True,오렌지 나무,"{'name': 'kalani robb', 'net_worth': 3000000}"
