name,impression,meaning,gender
Amira,지혜로움과 신뢰,Princess/Rich/Cultivated,f
Amy,아름다움/사랑/우정,Beloved,f
Ana,고귀하고 선함,Gracious,f
Anahi,태생/근본,Immortal,f
Anastasia,하나님의 사랑,Resurrection,f
Anaya,하나님의 사랑,Look up to God,f
Anderson,태생/근본,Son Of Andrew,m
Andre,리더십과 성취,"Manly, Courageous",m
Andrea,리더십과 성취,Courageous,f
Andreas,리더십과 성취,Strong & Manly,m
Andres,리더십과 성취,"Manly, Courageous",m
Andrew,리더십과 성취,"Manly, Courageous",m
Andy,리더십과 성취,Manly,m
Angel,고귀하고 선함,Angelic,m
Angel,고귀하고 선함,Angelic,f
Angela,고귀하고 선함,Angelic,f
Angelica,고귀하고 선함,Angelic,f
Angelina,아름다움/사랑/우정,Little ANGEL,f
Angelique,고귀하고 선함,Angelic,f
Angelo,고귀하고 선함,Angel,m
Angie,하나님의 사랑,Angel,f
Anika,고귀하고 선함,Gracious,f
Anita,고귀하고 선함,Gracious,f
Aniyah,고귀하고 선함,Form of Anya,f
Anjali,고귀하고 선함,Tribute,f
Ann,고귀하고 선함,Gracious,f
Anna,고귀하고 선함,Gracious,f
Annabel,아름다움/사랑/우정,Grace and Beauty,f
Annabella,아름다움/사랑/우정,Grace and beauty,f
Annabelle,고귀하고 선함,Grace and beauty,f
Annalise,하나님의 사랑,"Gracious, Consecrated to God",f
Anne,고귀하고 선함,Gracious,f
Annette,고귀하고 선함,Gracious,f
Annie,하나님의 사랑,Blessed with Grace,f
Annika,고귀하고 선함,"Gracious, Merciful",f
Ansley,태생/근본,From The Hermitage Field,f
Anthony,고귀하고 선함,Worthy of Praise,m
Antoine,리더십과 성취,Form Of Antony,m
Anton,고귀하고 선함,Worthy of Praise,m
Antonia,고귀하고 선함,Praiseworthy,f
Antonio,고귀하고 선함,Worthy of Praise,m
Antony,리더십과 성취,"Praiseworthy, Flourishing",m
Antwan,고귀하고 선함,Alternate Spelling Of The Name Antoine,f
Anya,고귀하고 선함,"From the name ANNA, Gracious",f
April,자연과 도시,"Opening, 4th Month",f
Araceli,기타,Altar Of The Sky,f
Aracely,하나님의 사랑,Heavenly Altar,f
Ari,리더십과 성취,Lion,m
Aria,희망적이고 행복한,Melody,f
Ariana,하나님의 사랑,Holy,f
Arianna,하나님의 사랑,Holy,f
Ariel,하나님의 사랑,Lion of God,m
Ariel,하나님의 사랑,Lion of God,f
Arielle,하나님의 사랑,Lion of God,f
Arjun,고귀하고 선함,"White, Clear",m
Arlene,리더십과 성취,Pledge,f
Armando,리더십과 성취,"From the name ARMAND, Of the Army",m
Armani,지혜로움과 신뢰,Faith,m
Armani,지혜로움과 신뢰,Faith,f
Arnav,자연과 도시,Ocean,m
Arnold,리더십과 성취,Strong as an Eagle,m
Aron,희망적이고 행복한,To Sing,m
Arthur,고귀하고 선함,Noble strength. A bear.,m
Arturo,리더십과 성취,Bear,m
Aryan,고귀하고 선함,"From the name Arjun, White, Clear",m
Asa,리더십과 성취,"From the name CHARLES, Manly, Farmer",m
Ashanti,태생/근본,African Tribe Name,f
Asher,희망적이고 행복한,"Blessed, Happy",m
Ashlee,태생/근본,From The Ash Tree Field,f
Ashleigh,자연과 도시,From the Ash Tree,f
Ashley,자연과 도시,From the Ash Tree,f
Ashlyn,자연과 도시,ROOTS: ASHLEY&LYN,f
Ashton,자연과 도시,Ash Tree Settlement,m
Ashtyn,태생/근본,From the Ash Tree Town,f
Asia,하나님의 사랑,Resurrection,f
Aspen,자연과 도시,The Aspen Tree,f
Athena,리더십과 성취,Goddess of Wisdom & War,f
Aubrey,고귀하고 선함,"Noble, Bright",f
Audrey,고귀하고 선함,Noble Strength,f
August,지혜로움과 신뢰,"Revered, Exalted",m
Augustus,지혜로움과 신뢰,"Revered, Exalted",m
Aurora,리더십과 성취,Goddess of the Dawn,f
Austen,지혜로움과 신뢰,"From the name AUGUSTIN, Revered, Exalted",m
Austin,지혜로움과 신뢰,"From the name AUGUSTIN, Revered, Exalted",m
Austyn,지혜로움과 신뢰,"From the name AUGUSTIN, Revered, Exalted",m
Autumn,자연과 도시,Fall Season,f
Ava,자연과 도시,Like a Bird,f
Avery,고귀하고 선함,Nobility,m
Avery,고귀하고 선함,Nobility,f
Axel,희생/봉사,"Constant,Loyal",m
Ayanna,아름다움/사랑/우정,Beautiful flower,f
Aydan,리더십과 성취,"From the name Aidan, Fiery",m
Ayden,리더십과 성취,Little Fire,m
Aydin,리더십과 성취,"From the name Aidan, Fiery",m
Ayla,자연과 도시,The Oak Tree,f
Baby,태생/근본,Baby,f
Bailey,직업,"Bailiff, Steward",f
Bailey,직업,"Bailiff, Steward",m
Barbara,기타,Stranger,f
Barrett,리더십과 성취,Strength of a Bear,m
Barry,직업,Marksman,m
Baylee,희생/봉사,Bailiff,f
Beatriz,희망적이고 행복한,Brings Joy,f
Beau,아름다움/사랑/우정,"Beautiful, Handsome",m
Belen,하나님의 사랑,Bethlehem,f
Bella,아름다움/사랑/우정,Beautiful,f
Ben,고귀하고 선함,Short Form Of Benjamin Or Benedict,m
Benjamin,고귀하고 선함,Son of My Right Hand,m
Bennett,희망적이고 행복한,Little Blessed One,m
Benny,고귀하고 선함,Son of My Right Hand,m
Berenice,리더십과 성취,Victorious,f
Bernard,리더십과 성취,Bold As A Bear,m
Bernardo,리더십과 성취,Bold As A Bear,m
Bethany,하나님의 사랑,Life-town near Jerusalem,f
Bianca,외양/색깔,"White, Fair Skinned",f
Billy,리더십과 성취,"From the name WILLIAM, Protector",m
Blaine,자연과 도시,The Source of a River,m
Blaise,부정적의미들,Stammerer,m
Blake,외양/색깔,Pale blond one or dark,m
Blanca,외양/색깔,White,f
Blaze,리더십과 성취,A Flame,m
Bo,리더십과 성취,Strong and Fast,m
Bobby,리더십과 성취,Short for ROBERT,m
Boston,기타,From St. Botolf's Stone,m
Brad,자연과 도시,Broad Meadow,m
Braden,외양/색깔,Broad,m
Bradley,자연과 도시,"A Broad Lea, Meadow",m
Brady,리더십과 성취,Broad shouldered,m
Bradyn,리더십과 성취,"From the name Brady, Broad shouldered",m
Braeden,자연과 도시,From the Dark Valley,m
Braedon,리더십과 성취,"From the name Brendon, Little Raven",m
Braiden,리더십과 성취,"From the name Brendon, Little Raven",m
Branden,리더십과 성취,Little Raven,m
Brandi,고귀하고 선함,Warm and comforting,f
Brandon,리더십과 성취,Little Raven,m
Brandy,고귀하고 선함,warm and comforting,f
Branson,태생/근본,Son Of Brand,m
Braxton,자연과 도시,Brock's Town,m
Brayan,기타,Combination Of Brayden And Bryan,m
Brayden,리더십과 성취,Brave,m
Braydon,리더십과 성취,"From the name Brendon, Little Raven",m
Braylon,기타,Combination Of Brayden And Waylon,m
Breanna,고귀하고 선함,"Strong, Virtuous, Honorable",f
Brenda,리더십과 성취,Sword,f
Brendan,리더십과 성취,Little Raven,m
Brenden,리더십과 성취,"From the name Brendon, Little Raven",m
Brendon,리더십과 성취,Little Raven,m
Brenna,자연과 도시,Little Raven,f
Brennan,리더십과 성취,Raven-like,m
Brennen,리더십과 성취,"From the name Brennan, Raven-like",m
Brent,자연과 도시,from high on the hill,m
Brenton,리더십과 성취,"From the name Brendon, Little Raven",m
Bret,태생/근본,"From the name Brett, Briton, British",m
Brett,자연과 도시,"Briton, British",m
Bria,태생/근본,Diminutive Form Of Brianna Or Cambria,f
Brian,리더십과 성취,Strong One,m
Briana,리더십과 성취,Fortitude and strength,f
Brianna,리더십과 성취,Strong One,f
Brianne,리더십과 성취,Strong One,f
Brice,고귀하고 선함,Son of a Nobleman,m
Bridget,리더십과 성취,Strong,f
Brielle,리더십과 성취,Exalted Goddess,f
Brisa,자연과 도시,"Breeze, Small Wind",f
Britney,태생/근본,From Great Britain,f
Brittany,태생/근본,From Britain,f
Brittney,태생/근본,From Britain,f
Brock,리더십과 성취,A Badger,m
Broderick,아름다움/사랑/우정,Brother,m
Brodie,기타,Name Of A Scottish Castle,m
Brody,아름다움/사랑/우정,Brother,m
Bronson,태생/근본,Son of Brown,m
Brooke,자연과 도시,"Brook, Stream",f
Brooklyn,자연과 도시,"Brook, Stream",f
Brooks,자연과 도시,Running Water,m
Bruce,자연과 도시,Woods,m
Bruno,외양/색깔,Brown One,m
Bryan,리더십과 성취,Strong One,m
Bryant,리더십과 성취,"Strong, Honorable",m
Bryce,고귀하고 선함,Son of a Nobleman,m
Brycen,고귀하고 선함,Elaboration Of Bryce,m
Brynn,자연과 도시,Small Hill,f
Bryson,태생/근본,Grandson of a Nobleman,m
Byron,자연과 도시,Barn or Cottage,m
Cade,고귀하고 선한,Pure,m
Caden,리더십과 성취,Fighter,m
Cadence,희망적이고 행복한,Rhythm,f
Cael,리더십과 성취,Victorious People,m
Caiden,리더십과 성취,Fighter,m
Caitlin,아름다움/사랑/우정,Virginal Beauty,f
Caitlyn,고귀하고 선한,Pure Beauty,f
Cale,지혜로움과 신뢰,Form of Caleb,m
Caleb,지혜로움과 신뢰,"Faithful, Bold",m
Calista,아름다움/사랑/우정,Beautiful,f
Callie,아름다움/사랑/우정,Beautiful,f
Calvin,지혜로움과 신뢰,Bald,m
Camden,자연과 도시,From the valley,m
Cameron,외양/색깔,Bent Nose,m
Cameron,외양/색깔,Bent Nose,f
Camila,자비/희생/봉사,Attendant,f
Camilla,고귀하고 선한,"Young, Virginal",f
Camille,고귀하고 선한,"Virginal, Unblemished Character",f
Campbell,부정적인 의미들,Crooked Mouth,f
Camren,외양/색깔,"From the name Cameron, Bent Nose",m
Camron,외양/색깔,"From the name Cameron, Bent Nose",m
Camryn,외양/색깔,Bent Nose,f
Candace,고귀하고 선한,"Fire White, Pure",f
Candice,외양/색깔,"Fire, White",f
Cannon,직업,Clergyman/Cannon,m
Cara,아름다움/사랑/우정,Dearest,f
Carina,아름다움/사랑/우정,Dear One,f
Carissa,아름다움/사랑/우정,Beloved,f
Carl,리더십과 성취,Strong One,m
Carla,리더십과 성취,Strong One,f
Carley,리더십과 성취,Diminutive Form Of Carlotta,f
Carlo,리더십과 성취,Gracious and Powerful,m
Carlos,리더십과 성취,"From the name CARL, Strong One",m
Carlton,태생/근본,Town of Charles,m
Carly,리더십과 성취,Strong One,f
Carmen,아름다움/사랑/우정,Song,f
Carol,희망적이고 행복한,"Melody, Song",f
Carolina,아름다움/사랑/우정,Beautiful Woman,f
Caroline,아름다움/사랑/우정,Beautiful Woman,f
Carolyn,아름다움/사랑/우정,From the name CAROL AND LINDA,f
Carrie,희망적이고 행복한,"Melody, song",f
Carson,태생/근본,Son of Carr,m
Carson,태생/근본,Son of Carr,f
Carter,태생/근본,Driver of a Cart,m
Casey,리더십과 성취,Brave,m
Casey,리더십과 성취,Brave,f
Cash,직업,Maker Of Chests,m
Cason,리더십과 성취,"From the name Casey, Brave",m
Cassandra,리더십과 성취,Prophet,f
Cassidy,지혜로움과 신뢰,Clever,f
Cassie,직업,From Cassandra- Prophetess,f
Catalina,희망적이고 행복한,Pure,f
Catherine,고귀하고 선한,"Pure, Virginal",f
Cayden,리더십과 성취,Fighter,m
Cayla,자연과 도시,Crown of Laurel,f
Cecelia,태생/근본,Blind,f
Cecilia,외양/색깔,Blind,f
Cedric,리더십과 성취,Chief,m
Celeste,하나님의 사랑,From the Heavens,f
Celia,태생/근본,Blind,f
Celina,자연과 도시,Moon,f
Celine,자연과 도시,Moon,f
Cesar,외양/색깔,Long Haired,m
Chad,리더십과 성취,"Battle, Warrior",m
Chaim,고귀하고 선한,To Life,m
Chana,고귀하고 선한,Gracious,f
Chance,자비/희생/봉사,Keeper of the Records,m
Chandler,직업,Candle Maker,m
Chanel,자연과 도시,Channel,f
Charity,고귀하고 선한,"Charity, Kindness",f
Charles,리더십과 성취,"Manly, Farmer",m
Charlie,기타,Nickname for CHARLES/CHARLOTTE,m
Charlize,고귀하고 선한,Womanly,f
Charlotte,아름다움/사랑/우정,Feminine,f
Chase,리더십과 성취,Hunter,m
Chasity,고귀하고 선한,Form Of Chastity,f
Chaya,자연과 도시,Life,f
Chaz,리더십과 성취,"Manly, farmer",m
Chelsea,자연과 도시,Port of Ships,f
Chelsey,자연과 도시,Port of Ships,f
Cheyanne,리더십과 성취,Unintelligible Speakers,f
Cheyenne,리더십과 성취,Unintelligible Speakers,f
Chloe,아름다움/사랑/우정,Verdant and blooming,f
Chris,기타,Short for CHRISTOPHER or CHRISTINE,m
Christa,하나님의 사랑,Christ Bearer,f
Christian,하나님의 사랑,Of the Christian Faith,m
Christian,하나님의 사랑,Of the Christian Faith,f
Christiana,하나님의 사랑,"Christian, Christ-bearer",f
Christina,하나님의 사랑,Christ-bearer,f
Christine,하나님의 사랑,Christ-bearer,f
Christopher,하나님의 사랑,Christ-bearer,m
Christy,하나님의 사랑,Of Christ,f
Ciara,부정적인 의미들,Black and Mysterious,f
Cierra,자연과 도시,Mountain,f
Cindy,자연과 도시,"From the name CYNTHIA, The Moon Personified",f
Claire,아름다움/사랑/우정,"Clear, bright",f
Clara,고귀하고 선한,"Clear, Bright",f
Clare,고귀하고 선한,Clear,f
Clarence,고귀하고 선한,"Clear, Luminous",m
Clarissa,지혜로움과 신뢰,Brilliant,f
Clark,하나님의 사랑,Clergyman,m
Claudia,외양/색깔,Lame,f
Clay,건강/장수,Immortal,m
Clayton,자연과 도시,Town on Clay Land,m
Clifford,자연과 도시,From a Steep Cliff,m
Clifton,자연과 도시,From a Town near a Cliff,m
Clinton,자연과 도시,Town on a Hill,m
Coby,리더십과 성취,Supplanter,m
Cody,자비/희생/봉사,A Cushion,m
Cohen,하나님의 사랑,Priest,m
Colby,외양/색깔,Dark Haired,m
Cole,리더십과 성취,"From the name NICHOLAS, Victorious People (victory of the people)",m
Coleman,직업,Dove/Charcoal Burner,m
Colin,휴식/평화,Young child; peaceful dove,m
Colleen,아름다움/사랑/우정,Irish Girl,f
Collin,휴식/평화,"From the name COLIN, Young child; peaceful dove",m
Colt,리더십과 성취,Young Horse,m
Colten,자연과 도시,"From the name Colton, Coal Town",m
Colton,자연과 도시,Coal Town,m
Conner,지혜로움과 신뢰,Wise,m
Connor,리더십과 성취,"Much wanted, strong willed",m
Conor,아름다움/사랑/우정,Much wanted,m
Conrad,지혜로움과 신뢰,"Bold, Wise Counselor",m
Cooper,직업,Barrel Maker,m
Cora,아름다움/사랑/우정,"Heart, Maiden",f
Corbin,리더십과 성취,A Raven,m
Cordell,직업,Rope Maker,m
Corey,부정적인 의미들,Hollow,m
Cornelius,외양/색깔,Horn-Colored,m
Cortez,고귀하고 선한,Courteous,m
Cory,부정적인 의미들,Hollow,m
Courtney,태생/근본,From the Court,f
Craig,자연과 도시,From the Crag,m
Cristian,하나님의 사랑,"From the name Christian, follower of Christ",m
Cristina,하나님의 사랑,Christ Bearer,f
Cristobal,하나님의 사랑,Christ-Bearer,m
Cristofer,하나님의 사랑,"From the name Christopher, Christ-bearer",m
Cristopher,하나님의 사랑,"From the name Christopher, Christ-bearer",m
Cruz,하나님의 사랑,The Cross Bearer,m
Crystal,아름다움/사랑/우정,"A Clear, Brilliant Glass",f
Cullen,아름다움/사랑/우정,Handsome,m
Curtis,고귀하고 선한,Courteous,m
Cynthia,자연과 도시,The Moon Personified,f
Cyrus,자연과 도시,Sun,m
Daisy,자연과 도시,Daisy Flower,f
Dakota,태생/근본,Native American Tribal Name,f
Dakota,태생/근본,Native American Tribal Name,m
Dale,자연과 도시,Valley,m
Dalia,자연과 도시,"A Branch, bough",f
Dallas,지혜로움과 신뢰,Wise,m
Dallin,자연과 도시,From the Dale,m
Dalton,자연과 도시,The Town Near the Valley,m
Damarion,기타,Combination Of Da And Marion,m
Damaris,고귀하고 선한,"Gentle, Mild",f
Damian,고귀하고 선한,Sweet and harmless,m
Damion,고귀하고 선한,"From the name Damien, Sweet and harmless",m
Damon,고귀하고 선한,"To Tame, Subdue",m
Dana,태생/근본,"Danish, from Denmark",f
Dandre,건강/장수,"From the name Dante, Everlasting",m
Dane,하나님의 사랑,God is my Judge or From Denmark,m
Dangelo,리더십과 성취,"From the name Danzel, Wild One",m
Danica,자연과 도시,Morning Star,f
Daniel,하나님의 사랑,God is my Judge,m
Daniela,하나님의 사랑,God is My Judge,f
Daniella,하나님의 사랑,God Is My Judge,f
Danielle,하나님의 사랑,God is my Judge,f
Danny,하나님의 사랑,"From the name DANIEL, God is my judge",m
Dante,건강/장수,Everlasting,m
Daphne,자연과 도시,Laurel Tree,f
Daquan,자비/희생/봉사,Combination Of Da And Juan,m
Darian,고귀하고 선한,"From the name DARIN, Precious Present",m
Darien,기타,Name Of A Place In Panama,m
Darin,고귀하고 선한,Precious Present,m
Dario,리더십과 성취,Affluent,m
Darion,기타,Created Name,m
Darius,리더십과 성취,Wealthy,m
Darlene,아름다움/사랑/우정,Little Darling,f
Darnell,자연과 도시,Hidden Nook,m
Darrell,아름다움/사랑/우정,Darling,m
Darren,리더십과 성취,Great,m
Darrin,리더십과 성취,"From the name Darren, Great",m
Darrius,하나님의 사랑,He who Upholds the Good,m
Darryl,아름다움/사랑/우정,"From the name DARYL, Dear, Beloved",m
Darwin,아름다움/사랑/우정,Dear Friend,m
Daryl,아름다움/사랑/우정,"Dear, Beloved",m
Dashawn,하나님의 사랑,"From the name Deshawn, God is gracious",m
Davian,아름다움/사랑/우정,"Combination Of David And -an, Beloved",m
David,아름다움/사랑/우정,Beloved,m
Davin,지혜로움과 신뢰,Finnish Person,m
Davion,아름다움/사랑/우정,Combination Of David And -ion,m
Davis,태생/근본,Son of DAVID,m
Davon,고귀하고 선한,"From the name Devon, Poet",m
Dawson,태생/근본,Son of David,m
Dayana,하나님의 사랑,Form Of Diana,f
Dayton,자연과 도시,Bright and Sunny Town,m
Deacon,고귀하고 선한,Pastor,m
Dean,리더십과 성취,"Head, Leader",m
Deandre,기타,Combination Of De And Andre,m
Deangelo,고귀하고 선한,Of The Angels,m
Deanna,하나님의 사랑,"Divine, Valley",f
Deborah,고귀하고 선한,Honey Bee,f
Declan,태생/근본,Irish Saint,m
Deja,기타,Already,f
Delaney,부정적인 의미들,Enemy's Child,f
Delia,태생/근본,"From the name CORDELIA, daughter of sea",f
Delilah,자연과 도시,Night,f
Demarcus,리더십과 성취,Combination Of De And Marcus,m
Demarion,기타,Combination Of De And Marion,m
Demetrius,자연과 도시,Goddess of Fertility,m
Denise,리더십과 성취,Feminine form of DENNIS,f
Dennis,리더십과 성취,"Wild, Frenzied",m
Denzel,리더십과 성취,Wild One,m
Deon,고귀하고 선한,Divine Queen,m
Deonte,건강/장수,"From the name Dante, Everlasting",m
Derek,리더십과 성취,Famous Ruler,m
Derick,리더십과 성취,"From the name Derrick, Famous Ruler",m
Derrick,리더십과 성취,Famous Ruler,m
Deshaun,하나님의 사랑,"From the name Deshawn, God is gracious",m
Deshawn,하나님의 사랑,God is gracious,m
Desiree,고귀하고 선한,Desired,f
Desmond,태생/근본,One from S. Muenster,m
Destin,고귀하고 선한,Destiny,m
Destiny,태생/근본,For which you were meant to do.,f
Devan,아름다움/사랑/우정,Writer of poetry,m
Deven,하나님의 사랑,Like a God,m
Devin,직업,Poet,f
Devin,직업,Poet,m
Devon,직업,Poet,f
Devon,직업,Poet,m
Devonte,고귀하고 선한,"From the name Devon, Poet",m
Devyn,고귀하고 선한,"From the name Devon, Poet",m
Dexter,고귀하고 선한,"Flexible, Able-Bodied",m
Diamond,아름다움/사랑/우정,Brilliant Gem,f
Diana,하나님의 사랑,Divine,f
Diane,직업,Celestial Hunter,f
Diego,태생/근본,St. James,m
Dillan,태생/근본,Son Of The Sea,m
Dillon,지혜로움과 신뢰,Faithful,m
Dimitri,희생/봉사,Devotee Of Demeter,m
Dion,기타,God of wine and revelry,m
Domenic,하나님의 사랑,"From the name Dominick, Belonging to God",m
Dominic,리더십과 성취,Belonging to God,m
Dominick,하나님의 사랑,Belonging to God,m
Dominik,하나님의 사랑,"From the name Dominick, Belonging to God",m
Dominique,하나님의 사랑,Of God,f
Dominique,하나님의 사랑,Of God,m
Donald,리더십과 성취,World Leader,m
Donavan,리더십과 성취,"From the name Donovan, Dark Warrior",m
Donna,아름다움/사랑/우정,"Lady, Woman",f
Donovan,리더십과 성취,Dark Warrior,m
Donte,건강/장수,"From the name Dante, Everlasting",m
Dorian,자연과 도시,From the Sea,m
Dorothy,하나님의 사랑,Gift of God,f
Douglas,자연과 도시,Flowing from the dark river,m
Drake,리더십과 성취,Dragon,m
Draven,리더십과 성취,Combination Of D And Raven,m
Drew,리더십과 성취,Manly and Courageous,f
Drew,리더십과 성취,"Manly, Courageous",m
Dulce,아름다움/사랑/우정,Sweet,f
Duncan,외양/색깔,Dark Skinned Warrior,m
Dustin,리더십과 성취,Warrior,m
Dwayne,외양/색깔,"Dark, Black",m
Dwight,외양/색깔,"White, fair one",m
Dylan,하나님의 사랑,Born from the ocean; son of the sea,m
Dylan,태생/근본,Born from the ocean; son of the sea,f
Dylon,하나님의 사랑,"From the name Dylan, Born from the ocean; son of the sea",m
Ean,하나님의 사랑,God is gracious,m
Earl,고귀하고 선한,"Pledge, Nobleman",m
Easton,태생/근본,From The East Town,m
Ebony,부정적인 의미들,Dark Strength,f
Eddie,리더십과 성취,Wealthy Guardian,m
Eden,하나님의 사랑,Paradise,f
Edgar,리더십과 성취,Great Spearman,m
Edith,희망적이고 행복한,Happy,f
Eduardo,리더십과 성취,Form of Edward,m
Edward,리더십과 성취,Wealthy Guardian,m
Edwin,리더십과 성취,Prosperous Friend,m
Efrain,리더십과 성취,"From the name Efren,Fruitful",m
Efren,리더십과 성취,Fruitful,m
Eileen,희망적이고 행복한,Light - from Helen,f
Elaina,희망적이고 행복한,"Form of HELEN, Light",f
Elaine,희망적이고 행복한,Light,f
Eleanor,희망적이고 행복한,Light,f
Elena,희망적이고 행복한,Light,f
Eli,하나님의 사랑,"From the name ELIJAH, The Lord is My God",m
Elian,하나님의 사랑,"From the name ELIJAH, The Lord is My God",m
Eliana,희망적이고 행복한,Light,f
Elias,하나님의 사랑,The Lord is My God,m
Elijah,하나님의 사랑,The Lord is My God,m
Elisa,하나님의 사랑,Consecrated to God,f
Elisabeth,하나님의 사랑,Consecrated to God,f
Elise,하나님의 사랑,Consecrated to God,f
Elisha,하나님의 사랑,God is gracious,m
Elissa,하나님의 사랑,God Is My Oath,f
Eliza,하나님의 사랑,"From the name ELIZABETH, Consecrated to God",f
Elizabeth,하나님의 사랑,Consecrated to God,f
Ella,아름다움/사랑/우정,She,f
Elle,아름다움/사랑/우정,"Woman, Girl",f
Ellen,희망적이고 행복한,Light,f
Elliot,하나님의 사랑,The Lord is My God,m
Elliott,하나님의 사랑,Close to God,m
Ellis,하나님의 사랑,"From the name ELIJAH, The Lord is My God",m
Elmer,리더십과 성취,Famous,m
Elsa,하나님의 사랑,"From the name ELIZABETH, Consecrated to God",f
